Title,Release,Runtime,Metascore,Box Office,Cast,Director,Writer
Matilda,2-Aug-96,102 min,72,"$33,459,416 ",Danny DeVito Rhea Perlman Mara Wilson,Danny DeVito,Roald Dahl Nicholas Kazan Robin Swicord
In Search of Fellini,15-Sep-17,93 min,55,"$12,772 ",Ksenia Solo Maria Bello Jay Kunzi,Taron Lexton,Nancy Cartwright Peter Kjenaas
Matilda,2-Aug-96,102 min,72,"$33,459,416 ",Danny DeVito Rhea Perlman Mara Wilson,Danny DeVito,Roald Dahl Nicholas Kazan Robin Swicord
She's Gotta Have It,8-Aug-86,84 min,79,"$7,137,502 ",Tracy Camilla Johns Tommy Redmond Hicks John Canada Terrell,Spike Lee,Spike Lee Zora Neale Hurston
Shrink,6-Aug-09,104 min,40,"$189,621 ",Kevin Spacey Mark Webber Keke Palmer,Jonas Pate,Thomas Moffett Henry Reardon
The Breakfast Club,15-Feb-85,97 min,66,"$45,875,171 ",Emilio Estevez Judd Nelson Molly Ringwald,John Hughes,John Hughes
Weird Science,2-Aug-85,94 min,46,"$23,834,048 ",Anthony Michael Hall Ilan Mitchell-Smith Kelly LeBrock,John Hughes,John Hughes Al Feldstein William M. Gaines
Can't Buy Me Love,14-Aug-87,94 min,36,"$31,623,833 ",Patrick Dempsey Amanda Peterson Courtney Gains,Steve Rash,Michael Swerdlick
xXx: State of the Union,29-Apr-05,101 min,37,"$26,873,932 ",Ice Cube Samuel L. Jackson Willem Dafoe,Lee Tamahori,Rich Wilkes Simon Kinberg
Guardians of the Galaxy,1-Aug-14,121 min,76,"$333,718,600 ",Chris Pratt Vin Diesel Bradley Cooper,James Gunn,James Gunn Nicole Perlman Dan Abnett
Back to the Future,3-Jul-85,116 min,87,"$212,836,762 ",Michael J. Fox Christopher Lloyd Lea Thompson,Robert Zemeckis,Robert Zemeckis Bob Gale
Madagascar,27-May-05,86 min,57,"$193,595,521 ",Chris Rock Ben Stiller David Schwimmer,Eric Darnell Tom McGrath,Mark Burton Billy Frolick Eric Darnell
Requiem for a Dream,15-Dec-00,102 min,68,"$3,635,482 ",Ellen Burstyn Jared Leto Jennifer Connelly,Darren Aronofsky,Hubert Selby Jr. Darren Aronofsky
Jojo Rabbit,8-Nov-19,108 min,58,"$33,370,906 ",Roman Griffin Davis Thomasin McKenzie Scarlett Johansson,Taika Waititi,Christine Leunens Taika Waititi
Old,23-Jul-21,108 min,55,"$48,276,510 ",Gael García Bernal Vicky Krieps Rufus Sewell,M. Night Shyamalan,M. Night Shyamalan Pierre-Oscar Lévy Frederik Peeters
Grown Ups,25-Jun-10,102 min,30,"$162,001,186 ",Adam Sandler Salma Hayek Kevin James,Dennis Dugan,Adam Sandler Fred Wolf
Goodfellas,21-Sep-90,145 min,90,"$46,909,721 ",Robert De Niro Ray Liotta Joe Pesci,Martin Scorsese,Nicholas Pileggi Martin Scorsese
Se7en,22-Sep-95,127 min,65,"$100,125,643 ",Morgan Freeman Brad Pitt Kevin Spacey,David Fincher,Andrew Kevin Walker
Good Time,25-Aug-17,102 min,80,"$2,026,499 ",Robert Pattinson Benny Safdie Jennifer Jason Leigh,Benny Safdie Josh Safdie,Ronald Bronstein Josh Safdie
Little Women,25-Dec-19,135 min,91,"$108,101,214 ",Saoirse Ronan Emma Watson Florence Pugh,Greta Gerwig,Greta Gerwig Louisa May Alcott